"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3"
0,1720;8,2560;15,6520
0,1720;8,2560;15,6520
0,1720;8,2841;15,6235
0,1720;8,0840;15,8240
0,1443;8,0840;15,7955
0,3440;8,0840;15,9960
0,3440;8,0840;15,9675
0,3440;8,0840;16,1680
0,3163;8,0840;16,1395
0,5160;8,0840;16,3400
0,5160;8,0840;16,3115
0,5160;8,0840;16,5120
0,5160;8,0840;16,4835
0,5160;8,0840;16,6840
0,5160;8,0840;16,6840
0,5160;8,0840;16,6840
0,5160;8,0840;16,6555
0,5160;8,0840;16,8560
0,5437;8,0840;16,8560
0,3440;8,1121;16,8560
0,3440;7,9120;16,8560
0,3440;7,9120;16,8560
0,3440;7,9120;16,8846
0,3717;7,9120;16,6840
0,1720;7,9120;16,6840
0,1720;7,9120;16,7125
0,1720;7,9120;16,5120
0,1997;7,9120;16,5405
0,0000;7,9120;16,3400
0,0000;7,9120;16,3685
0,0000;7,9120;16,1680
0,0277;7,9120;16,1965
-0,1720;7,9120;15,9960
-0,1720;7,9120;16,0245
-0,1720;7,9120;15,8240
-0,1720;7,9120;15,8240
-0,1443;7,9120;15,8525
-0,3440;7,9120;15,6520
-0,3440;7,9120;15,6520
-0,3440;7,8839;15,6805
-0,3440;8,0840;15,4800
-0,3440;8,0840;15,4800
-0,3440;8,0840;15,4800
-0,3440;8,0840;15,4800
-0,3717;8,0840;15,4800
-0,1720;8,0840;15,4800
-0,1720;8,0840;15,4515
-0,1720;8,0840;15,6520
-0,1720;8,0840;15,6520
-0,1720;8,0840;15,6235
-0,1997;8,0840;15,8240
0,0000;8,0840;15,7955
0,0000;8,0840;15,9960
-0,0277;8,0840;15,9675
0,1720;8,0840;16,1680
0,1720;8,0840;16,1395
0,1720;8,0840;16,3400
0,1443;8,0840;16,3115
0,3440;8,0840;16,5120
0,3440;8,0840;16,5120
0,3440;8,0840;16,4835
0,3163;8,0840;16,6840
0,5160;8,0840;16,6840
0,5160;8,0840;16,6840
0,5160;8,0840;16,6555
0,5160;8,0840;16,8560
0,5160;8,0840;16,8846
0,5160;8,0840;16,6840
0,5160;8,0840;16,6840
0,5160;8,1121;16,6840
0,5160;7,9120;16,6840
0,5160;7,9120;16,7125
0,5160;7,9120;16,5120
0,5160;7,9120;16,5120
0,5437;7,9120;16,5405
0,3440;7,9120;16,3400
0,3440;7,9120;16,3685
0,3440;7,9120;16,1680
0,3717;7,9120;16,1965
0,1720;7,9120;15,9960
0,1720;7,9120;16,0245
0,1720;7,9120;15,8240
0,1997;7,9120;15,8525
0,0000;7,9120;15,6520
0,0000;7,9120;15,6520
0,0000;7,8839;15,6805
0,0277;8,0840;15,4800
-0,1720;8,0840;15,4800
-0,1720;8,0840;15,4800
-0,1720;8,0840;15,4800
-0,1720;8,0840;15,4800
-0,1720;8,0840;15,4800
-0,1720;8,0840;15,4800
-0,1443;8,0840;15,4800
-0,3440;8,0840;15,4515
-0,3717;8,0840;15,6520
-0,1720;8,0840;15,6235
-0,1720;8,0840;15,8240
-0,1720;8,0840;15,8240
-0,1720;8,0840;15,7955
-0,1720;8,0840;15,9960
-0,1720;8,0840;15,9675
-0,1720;8,0840;16,1680
-0,1997;8,0840;16,1395
0,0000;8,0840;16,3400
0,0000;8,0840;16,3115
0,0000;8,0840;16,5120
-0,0277;8,0840;16,4835
0,1720;8,0840;16,6840
0,1720;8,0840;16,6840
0,1443;8,0840;16,6840
0,3440;8,0840;16,6555
0,3440;8,0840;16,8560
0,3440;8,0840;16,8560
0,3440;8,0840;16,8560
0,3163;8,0840;16,8846
0,5160;8,0840;16,6840
0,5160;8,0840;16,6840
0,5160;8,0840;16,6840
0,5160;8,0840;16,7125
0,5160;8,0840;16,5120
0,5160;8,0840;16,5405
0,5160;8,0840;16,3400
0,5160;8,0840;16,3685
0,5160;8,0840;16,1680
0,5160;8,1121;16,1965
0,5160;7,9120;15,9960
0,5437;7,9120;16,0245
0,3440;7,9120;15,8240
0,3440;7,9120;15,8525
0,3440;7,8839;15,6520
0,3717;8,0840;15,6520
0,1720;8,0840;15,6805
0,1720;8,0840;15,4800
0,1720;8,0840;15,4800
0,1997;8,0840;15,4800
0,0000;8,0840;15,4800
0,0000;8,0840;15,4800
0,0000;8,0840;15,4800
0,0000;8,0840;15,4800
0,0277;8,0840;15,4800
-0,1720;8,0840;15,4515
-0,1720;8,0840;15,6520
-0,1720;8,0840;15,6520
-0,1720;8,0840;15,6235
-0,1720;8,0840;15,8240
-0,1720;8,0840;15,7955
-0,1720;8,0559;15,9960
-0,1720;8,2560;15,9960
-0,1720;8,2560;15,9675
-0,1720;8,2560;16,1395
-0,1720;8,2560;16,3400
-0,1720;8,2560;16,3400
-0,1720;8,2560;16,3115
-0,1720;8,2560;16,5120
-0,1997;8,2560;16,4835
0,0000;8,2560;16,6840
0,0000;8,2560;16,6840
0,0000;8,2560;16,6840
-0,0277;8,2560;16,6840
0,1720;8,2560;16,6840
0,1720;8,2560;16,6840
0,1720;8,2560;16,6840
0,1443;8,2560;16,6840
0,3440;8,2841;16,6840
0,3440;8,0840;16,7125
0,3440;8,0840;16,5120
0,3163;8,0840;16,5120
0,5160;8,0840;16,5405
0,5160;8,0840;16,3400
0,5160;8,0840;16,3685
0,5160;8,0840;16,1680
0,5160;8,0840;16,1965
0,5160;8,0840;15,9960
0,5160;8,0840;16,0245
0,5160;8,0840;15,8240
0,5160;8,0840;15,8525
0,5160;8,0840;15,6520
0,5160;8,0840;15,6520
0,5160;8,1121;15,6805
0,5160;7,9120;15,4800
0,5437;7,9120;15,4800
0,3440;7,9120;15,4800
0,3440;7,9120;15,4800
0,3440;7,8839;15,4800
0,3717;8,0840;15,4800
0,1720;8,0840;15,4800
0,1720;8,0840;15,4800
0,1997;8,0840;15,4800
0,0000;8,0840;15,4515
0,0000;8,0840;15,6520
0,0000;8,0840;15,6235
0,0277;8,0840;15,8240
-0,1720;8,0840;15,7955
-0,1720;8,0840;15,9960
-0,1720;8,0840;15,9675
-0,1720;8,0840;16,1680
-0,1720;8,0840;16,1395
-0,1443;8,0840;16,3400
-0,3440;8,0840;16,3400
-0,3440;8,0559;16,3115
-0,3440;8,2560;16,5120
-0,3440;8,2560;16,4835
-0,3440;8,2560;16,6840
-0,3440;8,2560;16,6840
-0,3717;8,2560;16,6840
-0,1720;8,2560;16,6840
-0,1720;8,2560;16,6840
-0,1720;8,2560;16,6840
-0,1720;8,2560;16,6840
-0,1997;8,2560;16,6840
0,0000;8,2560;16,6840
0,0000;8,2560;16,6840
0,0000;8,2560;16,7125
-0,0277;8,2841;16,5120
0,1720;8,0840;16,5405
0,1720;8,0840;16,3400
0,1720;8,0840;16,3685
0,1443;8,0840;16,1680
0,3440;8,0840;16,1965
0,3440;8,0840;15,9960
0,3440;8,0840;16,0245
0,3163;8,0840;15,8240
0,5160;8,0840;15,8240
0,5160;8,0840;15,8525
0,5160;8,0840;15,6520
0,5160;8,0840;15,6805
0,5160;8,0840;15,4800
0,5160;8,0840;15,4800
0,5160;8,0840;15,4800
0,5160;8,0840;15,4800
0,5160;8,0840;15,4800
0,5160;8,0840;15,4800
0,5160;8,0840;15,4800
0,5437;8,0840;15,4800
0,3440;8,0840;15,4800
0,3440;8,0840;15,4515
0,3440;8,0840;15,6520
0,3440;8,0840;15,6520
0,3717;8,0840;15,6235
0,1720;8,0840;15,8240
0,1720;8,0840;15,7955
0,1720;8,0840;15,9960
0,1997;8,0840;15,9675
0,0000;8,0840;16,1680
0,0000;8,0840;16,1395
0,0000;8,0840;16,3400
0,0277;8,0840;16,3115
-0,1720;8,0840;16,5120
-0,1720;8,0559;16,5120
-0,1720;8,2560;16,4835
-0,1720;8,2560;16,6840
-0,1720;8,2560;16,6840
-0,1720;8,2560;16,6840
-0,1720;8,2560;16,6840
-0,1720;8,2560;16,6840
-0,1720;8,2560;16,6840
-0,1720;8,2560;16,6840
-0,1720;8,2560;16,6840
-0,1720;8,2560;16,6840
-0,1720;8,2560;16,7125
-0,1720;8,2560;16,5120
-0,1720;8,2560;16,5120
-0,1720;8,2560;16,5405
-0,1997;8,2841;16,3400
0,0000;8,0840;16,3685
0,0000;8,0840;16,1680
0,0000;8,0840;16,1965
-0,0277;8,0840;15,9960
0,1720;8,0840;16,0245
0,1720;8,0840;15,8240
0,1720;8,0840;15,8525
0,1443;8,0840;15,6520
0,3440;8,0840;15,6520
0,3440;8,0840;15,6805
0,3440;8,0840;15,4800
0,3440;8,0840;15,4800
0,3440;8,0840;15,4800
0,3163;8,1121;15,4800
0,5160;7,9120;15,4800
0,5160;7,9120;15,4800
0,5160;7,9120;15,4800
0,5160;7,9120;15,4800
0,5160;7,9120;15,4515
0,5160;7,9120;15,6520
0,5437;7,9120;15,6520
0,3440;7,9120;15,6235
0,3440;7,9120;15,8240
0,3440;7,9120;15,7955
0,3440;7,8839;15,9960
0,3717;8,0840;15,9675
0,1720;8,0840;16,1680
0,1720;8,0840;16,1395
0,1720;8,0840;16,3400
0,1720;8,0840;16,3115
0,1997;8,0840;16,5120
0,0000;8,0840;16,5120
0,0000;8,0840;16,4835
0,0277;8,0840;16,6840
-0,1720;8,0840;16,6840
-0,1720;8,0840;16,6840
-0,1720;8,0840;16,6840
-0,1720;8,0840;16,6840
-0,1443;8,0840;16,6840
-0,3440;8,0840;16,6840
-0,3440;8,0840;16,6840
-0,3440;8,0559;16,6840
-0,3440;8,2560;16,7125
-0,3440;8,2560;16,5120
-0,3440;8,2560;16,5120
-0,3440;8,2560;16,5405
-0,3440;8,2560;16,3400
-0,3717;8,2560;16,3685
-0,1720;8,2841;16,1680
-0,1720;8,0840;16,1965
-0,1720;8,0840;15,9960
-0,1720;8,0840;16,0245
-0,1997;8,0840;15,8240
0,0000;8,0840;15,8525
0,0000;8,0840;15,6520
0,0000;8,0840;15,6520
-0,0277;8,0840;15,6805
0,1720;8,0840;15,4800
0,1720;8,0840;15,4800
0,1720;8,0840;15,4800
0,1443;8,0840;15,4800
0,3440;8,0840;15,4800
0,3440;8,0840;15,4800
0,3440;8,0840;15,4800
0,3440;8,0840;15,4800
0,3163;8,0840;15,4515
0,5160;8,1121;15,6520
0,5160;7,9120;15,6520
0,5160;7,9120;15,6235
0,5160;7,9120;15,8240
0,5160;7,9120;15,7955
0,5160;7,8839;15,9960
0,5160;8,0840;15,9675
0,5160;8,0840;16,1680
0,5160;8,0840;16,1395
0,5437;8,0840;16,3400
0,3440;8,0840;16,3115
0,3440;8,0840;16,5120
0,3440;8,0840;16,5120
0,3440;8,0840;16,4835
0,3717;8,0840;16,6840
0,1720;8,0840;16,6840
0,1720;8,0840;16,6840
0,1720;8,0840;16,6840
0,1997;8,0840;16,6840
0,0000;8,0840;16,6840
0,0000;8,0840;16,6840
0,0000;8,0840;16,6840
0,0277;8,0840;16,6840
-0,1720;8,0559;16,6840
-0,1720;8,2560;16,7125
-0,1720;8,2560;16,5120
-0,1720;8,2560;16,5405
-0,1443;8,2841;16,3400
-0,3440;8,0840;16,3400
-0,3440;8,0840;16,3685
-0,3440;8,0840;16,1680
-0,3440;8,0840;16,1965
-0,3440;8,0840;15,9960
-0,3440;8,0840;16,0245
-0,3440;8,0840;15,8240
-0,3717;8,0840;15,8525
-0,1720;8,0840;15,6520
-0,1720;8,0840;15,6520
-0,1720;8,0840;15,6805
-0,1720;8,0840;15,4800
-0,1720;8,0840;15,4800
-0,1997;8,0840;15,4800
0,0000;8,0840;15,4800
0,0000;8,0840;15,4800
0,0000;8,1121;15,4800
-0,0277;7,9120;15,4800
0,1720;7,9120;15,4515
0,1720;7,9120;15,6520
0,1443;7,9120;15,6520
0,3440;7,9120;15,6235
0,3440;7,9120;15,8240
0,3440;7,9120;15,7955
0,3440;7,9120;15,9960
0,3440;7,9120;15,9675
0,3163;7,9120;16,1680
0,5160;7,9120;16,1395
0,5160;7,9120;16,3400
0,5160;7,9120;16,3115
0,5160;7,9120;16,5120
0,5160;7,8839;16,5120
0,5160;8,0840;16,4835
0,5160;8,0840;16,6840
0,5437;8,0840;16,6840
0,3440;8,0840;16,6840
0,3440;8,0840;16,6840
0,3440;8,0840;16,6840
0,3440;8,0840;16,6840
0,3717;8,0840;16,6840
0,1720;8,0840;16,6840
0,1720;8,0840;16,6840
0,1720;8,0840;16,6840
0,1997;8,0840;16,7125
0,0000;8,0559;16,5120
0,0000;8,2560;16,5120
0,0000;8,2560;16,5405
0,0000;8,2560;16,3400
0,0277;8,2560;16,3685
-0,1720;8,2560;16,1680
-0,1720;8,2560;16,1965
-0,1720;8,2560;15,9960
-0,1720;8,2560;16,0245
-0,1720;8,2560;15,8240
-0,1443;8,2560;15,8525
-0,3440;8,2560;15,6520
-0,3440;8,2560;15,6520
-0,3440;8,2560;15,6805
-0,3440;8,2841;15,4800
-0,3440;8,0840;15,4800
-0,3717;8,0840;15,4800
-0,1720;8,0840;15,4800
-0,1720;8,0840;15,4800
-0,1720;8,0840;15,4800
-0,1720;8,0840;15,4800
-0,1720;8,0840;15,4515
-0,1997;8,0840;15,6520
0,0000;8,0840;15,6520
0,0000;8,0840;15,6235
0,0000;8,0840;15,8240
-0,0277;8,0840;15,7955
0,1720;8,0840;15,9960
0,1720;8,0840;15,9675
0,1720;8,0840;16,1680
0,1443;8,0840;16,1395
0,3440;8,0840;16,3400
0,3440;8,0840;16,3400
0,3440;8,0840;16,3115
0,3440;8,0840;16,5120
0,3440;8,0840;16,4835
0,3440;8,0840;16,6840
0,3440;8,0840;16,6840
0,3440;8,0840;16,6840
0,3440;8,0840;16,6555
0,3440;8,0840;16,8560
0,3440;8,0840;16,8560
0,3440;8,0840;16,8560
0,3440;8,0840;16,8846
0,3440;8,0840;16,6840
0,3440;8,0840;16,6840
0,3440;8,0840;16,6840
0,3717;8,0840;16,7125
0,1720;8,0840;16,5120
0,1720;8,0559;16,5405
0,1720;8,2560;16,3400
0,1997;8,2560;16,3685
0,0000;8,2560;16,1680
0,0000;8,2560;16,1965
0,0000;8,2560;15,9960
0,0277;8,2560;16,0245
-0,1720;8,2560;15,8240
-0,1720;8,2560;15,8240
-0,1720;8,2560;15,8525
-0,1720;8,2560;15,6520
-0,1443;8,2560;15,6805
-0,3440;8,2560;15,4800
-0,3440;8,2560;15,4800
-0,3440;8,2841;15,4800
-0,3440;8,0840;15,4800
-0,3440;8,0840;15,4800
-0,3440;8,0840;15,4800
-0,3440;8,0840;15,4800
-0,3440;8,0840;15,4515
-0,3440;8,0840;15,6520
-0,3440;8,0840;15,6520
-0,3440;8,0840;15,6235
-0,3717;8,0840;15,8240
-0,1720;8,0840;15,8240
-0,1720;8,0840;15,7955
-0,1720;8,0840;15,9960
-0,1997;8,0840;15,9675
0,0000;8,0840;16,1680
0,0000;8,0840;16,1395
0,0000;8,0840;16,3400
-0,0277;8,0840;16,3115
0,1720;8,0840;16,5120
0,1720;8,0840;16,4835
0,1720;8,0840;16,6840
0,1443;8,0840;16,6840
0,3440;8,0840;16,6840
0,3440;8,0840;16,6840
0,3440;8,0840;16,6840
0,3440;8,0840;16,6840
0,3440;8,0840;16,6840
0,3163;8,0840;16,6840
0,5160;8,0840;16,6840
0,5160;8,0840;16,6840
0,5160;8,0840;16,6840
0,5160;8,0840;16,7125
0,5160;8,0840;16,5120
0,5437;8,0840;16,5405
0,3440;8,0840;16,3400
0,3440;8,0840;16,3685
0,3440;8,0559;16,1680
0,3440;8,2560;16,1965
0,3440;8,2560;15,9960
0,3717;8,2560;16,0245
0,1720;8,2560;15,8240
0,1720;8,2560;15,8240
0,1720;8,2560;15,8525
0,1997;8,2560;15,6520
0,0000;8,2560;15,6520
0,0000;8,2560;15,6805
0,0277;8,2560;15,4800
-0,1720;8,2560;15,4800
-0,1720;8,2560;15,4800
-0,1720;8,2560;15,4800
-0,1720;8,2841;15,4800
-0,1443;8,0840;15,4800
-0,3440;8,0840;15,4515
-0,3440;8,0840;15,6520
-0,3440;8,0840;15,6520
-0,3440;8,0840;15,6235
-0,3440;8,0840;15,8240
-0,3440;8,0840;15,8240
-0,3440;8,0840;15,7955
-0,3440;8,0840;15,9960
-0,3440;8,0840;15,9675
-0,3440;8,0840;16,1680
-0,3440;8,0840;16,1395
-0,3717;8,0840;16,3400
-0,1720;8,0840;16,3115
-0,1720;8,0840;16,5120
-0,1720;8,0840;16,5120
-0,1720;8,0840;16,4835
-0,1997;8,1121;16,6840
0,0000;7,9120;16,6840
0,0000;7,9120;16,6840
-0,0277;7,9120;16,6840
0,1720;7,9120;16,6840
0,1720;7,9120;16,6840
0,1720;7,8839;16,6840
0,1720;8,0840;16,6840
0,1443;8,0840;16,6840
0,3440;8,0840;16,6840
0,3440;8,0840;16,7125
0,3440;8,0840;16,5120
0,3440;8,0840;16,5405
0,3440;8,0840;16,3400
0,3440;8,0840;16,3400
0,3440;8,0840;16,3685
0,3440;8,0840;16,1965
0,3440;8,0840;15,9960
0,3440;8,0840;15,9960
0,3440;8,0840;16,0245
0,3440;8,0840;15,8240
0,3440;8,0840;15,8525
0,3440;8,0559;15,6520
0,3717;8,2560;15,6520
0,1720;8,2560;15,6805
0,1720;8,2560;15,4800
0,1720;8,2560;15,4800
0,1720;8,2560;15,4800
0,1997;8,2560;15,4800
0,0000;8,2560;15,4800
0,0000;8,2560;15,4800
0,0000;8,2841;15,4800
0,0277;8,0840;15,4515
-0,1720;8,0840;15,6520
-0,1720;8,0840;15,6520
-0,1720;8,0840;15,6235
-0,1720;8,0840;15,8240
-0,1443;8,0840;15,7955
-0,3440;8,0840;15,9960
-0,3440;8,0840;15,9675
-0,3440;8,0840;16,1680
-0,3440;8,0840;16,1680
-0,3440;8,0840;16,1395
-0,3440;8,0840;16,3400
-0,3440;8,0840;16,3115
-0,3440;8,0840;16,5120
-0,3717;8,0840;16,4835
-0,1720;8,1121;16,6840
-0,1720;7,9120;16,6840
-0,1720;7,9120;16,6840
-0,1720;7,9120;16,6840
-0,1997;7,9120;16,6840
0,0000;7,9120;16,6840
0,0000;7,9120;16,6840
0,0000;7,9120;16,6840
-0,0277;7,9120;16,6840
0,1720;7,9120;16,6840
0,1720;7,8839;16,7125
0,1720;8,0840;16,5120
0,1443;8,0840;16,5120
0,3440;8,0840;16,5405
0,3440;8,0840;16,3400
0,3440;8,0840;16,3685
0,3440;8,0840;16,1680
0,3440;8,0840;16,1965
0,3163;8,0840;15,9960
0,5160;8,0840;16,0245
0,5160;8,0840;15,8240
0,5160;8,0840;15,8525
0,5160;8,0840;15,6520
0,5160;8,0840;15,6520
0,5160;8,0840;15,6805
0,5160;8,0840;15,4800
0,5437;8,0840;15,4800
0,3440;8,0840;15,4800
0,3440;8,0840;15,4800
0,3440;8,0840;15,4800
0,3440;8,0840;15,4800
0,3717;8,0840;15,4800
0,1720;8,0840;15,4515
0,1720;8,0840;15,6520
0,1720;8,0840;15,6520
0,1997;8,0840;15,6235
0,0000;8,0840;15,8240
0,0000;8,0840;15,8240
0,0000;8,0840;15,7955
0,0277;8,0840;15,9960
-0,1720;8,0840;15,9675
-0,1720;8,0840;16,1680
-0,1720;8,0840;16,1395
-0,1443;8,0840;16,3400
-0,3440;8,0840;16,3115
-0,3440;8,1121;16,5120
-0,3440;7,9120;16,5120
-0,3440;7,9120;16,4835
-0,3440;7,9120;16,6840
-0,3440;7,9120;16,6840
-0,3440;7,9120;16,6840
-0,3440;7,9120;16,6840
-0,3440;7,9120;16,6840
-0,3440;7,9120;16,6840
-0,3717;7,9120;16,6840
-0,1720;7,9120;16,6840
-0,1720;7,9120;16,6840
-0,1720;7,9120;16,7125
-0,1720;7,9120;16,5120
-0,1997;7,9120;16,5120
0,0000;7,9120;16,5405
0,0000;7,9120;16,3400
-0,0277;7,8839;16,3685
0,1720;8,0840;16,1680
0,1720;8,0840;16,1965
0,1720;8,0840;15,9960
0,1443;8,0840;16,0245
0,3440;8,0840;15,8240
0,3440;8,0840;15,8525
0,3440;8,0840;15,6520
0,3440;8,0840;15,6520
0,3163;8,0840;15,6520
0,5160;8,0840;15,6805
0,5160;8,0840;15,4800
0,5160;8,0840;15,4800
0,5160;8,0840;15,4800
0,5160;8,0559;15,4800
0,5160;8,2560;15,4800
0,5160;8,2560;15,4800
0,5160;8,2560;15,4515
0,5160;8,2560;15,6520
0,5160;8,2560;15,6520
0,5437;8,2560;15,6235
0,3440;8,2560;15,8240
0,3440;8,2841;15,8240
0,3440;8,0840;15,7955
0,3717;8,0840;15,9960
0,1720;8,0840;15,9675
0,1720;8,0840;16,1680
0,1720;8,0840;16,1395
0,1997;8,0840;16,3400
0,0000;8,0840;16,3115
0,0000;8,0840;16,5120
0,0000;8,0840;16,5120
0,0000;8,0840;16,4835
0,0277;8,0840;16,6840
-0,1720;8,0840;16,6840
-0,1720;8,0840;16,6840
-0,1720;8,0840;16,6840
-0,1720;8,0840;16,6840
-0,1720;8,1121;16,6840
-0,1720;7,9120;16,6840
-0,1720;7,9120;16,6840
-0,1720;7,9120;16,6840
-0,1720;7,9120;16,7125
-0,1720;7,9120;16,5120
-0,1720;7,9120;16,5120
-0,1720;7,9120;16,5405
-0,1720;7,9120;16,3400
-0,1720;7,9120;16,3685
-0,1997;7,9120;16,1680
0,0000;7,9120;16,1965
0,0000;7,9120;15,9960
0,0000;7,8839;16,0245
0,0000;8,0840;15,8240
-0,0277;8,0840;15,8240
0,1720;8,0840;15,8525
0,1720;8,0840;15,6520
0,1720;8,0840;15,6520
0,1443;8,0840;15,6805
